/wiki/Kevin_Bacon,"Kevin Norwood Bacon[2] (born July 8, 1958)[3] is an American actor. His films include the musical-drama film Footloose (1984), the controversial historical conspiracy legal thriller JFK (1991), the legal drama A Few Good Men (1992), the historical docudrama Apollo 13 (1995), and the mystery drama Mystic River (2003). Bacon is also known for voicing the title character in Balto (1995), and was taking on darker roles, such as that of a sadistic guard in Sleepers (1996), and troubled former child abuser in The Woodsman (2004). He is further known for the hit comedies National Lampoon's Animal House (1978), Diner (1982), Tremors (1990) and Crazy, Stupid, Love (2011). His other well-known films are Friday the 13th (1980), Flatliners (1990), The River Wild (1994), Wild Things (1998), Stir of Echoes (1999), Hollow Man (2000), Frost/Nixon (2008), X-Men: First Class (2011), Black Mass (2015) and Patriots Day (2016). He is equally prolific on television, having starred in the Fox drama series The Following (2013–2015). For the HBO original film Taking Chance (2009), Bacon won a Golden Globe Award and a Screen Actors Guild Award, also receiving a Primetime Emmy Award nomination. More recently, Bacon portrayed the title character, and was the series lead, of the Amazon Prime streaming television series I Love Dick, for which he was nominated for a Golden Globe Award.
"
/wiki/Kevin_Bacon_(disambiguation),"Kevin Bacon (born 1958) is an American film and theater actor and musician.
"
/wiki/Kevin_Bacon_(producer),"Kevin John Bacon[1] (born 30 March 1959 in Rotherham, Yorkshire, England) is an English musician and record producer best known for his work with fellow Brit Jonathan Quarmby under the moniker Bacon & Quarmby, as well as his tenure as bassist for the band the Comsat Angels.[2] After leaving the Comsat Angels, Kevin Bacon produced for many other artists, notably Finley Quaye, Longpigs and Ziggy Marley.[2]
"
/wiki/Rotherham,"Rotherham (/ˈrɒðərəm/ (listen))[1] is a large minster town in South Yorkshire, England. It is the main settlement in the Metropolitan Borough of Rotherham. Located on the traditional road between Sheffield and Doncaster. The Rother (Rotherham's namesake) merges with the River Don. The Don then flows through the town centre.
"
/wiki/Rotherham_(disambiguation),"Rotherham is a town in South Yorkshire, England.
"
/wiki/Rotherham_(UK_Parliament_constituency),"
Coordinates: 53°25′48″N 1°21′25″W﻿ / ﻿53.430°N 1.357°W﻿ / 53.430; -1.357
"
/wiki/Metropolitan_Borough_of_Rotherham,"The Metropolitan Borough of Rotherham is a metropolitan borough of South Yorkshire, England. It is named after its largest town, Rotherham, but also spans the outlying towns of Maltby, Swinton, Wath-upon-Dearne, Dinnington and also the villages of Rawmarsh and Laughton. A large valley also spans the entire borough. Locally known as the Rother Valley.
"
"/wiki/Rotherham,_New_Zealand","Rotherham is a small village in the Hurunui District of the Canterbury region in New Zealand's South Island. It is between Culverden and Waiau on the Inland Kaikoura Road, and is near the south bank of the Waiau River, a popular location for trout and salmon fishing. It has a population of 324.
"
/wiki/Alan_Rotherham,"Alan Rotherham (31 July 1862 – 30 August 1898) was a rugby union international who represented England from 1882 to 1887. He also captained his country.[1] Rotherham is best known for his part in revolutionising half-back play in rugby union, being the first player to demonstrate how a half-back could be the connecting link between the forwards and three-quarters,[2] and thereby paving the way for the passing game within the backs that is practised to the present day. His role in the development of rugby was recognised by the International Rugby Board in 2011 with induction to the IRB Hall of Fame under the theme of innovation and creativity.[3]
"
/wiki/Arthur_Rotherham,"Arthur Rotherham (27 May 1869 – 3 March 1946)[1] was an English rugby union scrum-half who was a member of the first official British Isles tour and was later capped for the England team.
"
